<TIMESTAMP>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1483231860,971.46,971.46,971.15,971.15,717.73742587
1483231920,971.46,971.46,971.15,971.15,717.73742587
1483231980,971.44,971.5,971.15,971.15,4497.5834467
1483232040,971.48,971.58,971.46,971.46,9714.7639681
1483232100,971.49,971.49,970.95,970.95,9712.794700499999
1483232160,971.49,971.49,970.95,970.95,9712.794700499999
1483232220,971.41,971.59,970.36,970.36,9755.853661
1483232280,971.0,971.0,970.27,970.27,4853.6944639
1483232340,971.0,971.0,970.27,970.27,4853.6944639
1483232400,970.99,971.25,970.97,971.25,1813.4056888
1483232460,971.27,971.27,971.15,971.15,3354.1804153000003
1483232520,971.22,971.42,970.99,970.99,806.93539614
1483232580,971.41,971.41,971.04,971.05,370.71004341
1483232640,971.3,971.8,971.14,971.72,5159.947376100001
1483232700,971.3,971.8,971.14,971.72,5159.947376100001
1483232760,971.25,971.25,970.62,970.62,9708.423002
1483232820,970.57,971.59,970.57,970.57,4924.9065997
1483232880,971.46,971.96,971.46,971.96,959.1691913999999
1483232940,971.83,971.99,971.83,971.99,1443.6841097000001
1483233000,971.98,971.98,971.98,971.98,4859.9
1483233060,971.92,971.99,971.92,971.99,3453.9381033
1483233120,971.99,972.0,971.99,972.0,615.06556269
1483233180,972.0,972.0,971.09,971.09,4947.7475203
1483233240,971.74,971.99,971.74,971.99,588.619369
1483233300,971.74,971.98,971.73,971.75,2739.0758215
1483233360,971.74,971.98,971.73,971.75,2739.0758215
1483233420,971.74,971.74,971.74,971.74,868.589799
1483233480,971.97,971.97,971.97,971.97,643.8815265
1483233540,971.97,971.97,971.97,971.97,97.7218638
1483233600,971.97,971.97,971.97,971.97,97.7218638
1483233660,971.87,971.97,971.87,971.97,304.95355750000004
1483233720,971.97,971.97,970.96,970.96,4884.4163057
1483233780,971.97,971.97,970.96,970.96,4884.4163057
1483233840,971.19,971.19,970.74,970.74,4853.7663673
1483233900,971.47,971.47,971.47,971.47,58.2882
1483233960,970.75,970.75,970.09,970.09,9703.6340512
1483234020,970.75,970.75,970.09,970.09,9703.6340512
1483234080,970.36,970.36,969.76,969.76,4849.047362100001
1483234140,969.96,969.96,969.28,969.28,4847.758151
1483234200,969.96,969.96,969.28,969.28,4847.758151
1483234260,969.62,969.62,968.21,968.21,9714.4638505
1483234320,968.52,969.34,968.52,969.34,4852.2934
